Energy(eV)	Normalized_intensity
2.8348	3114.76556
2.8351867	3115.43683
2.8355733	3115.87178
2.83596	3117.16604
2.8363467	3119.92448
2.8367333	3123.27977
2.83712	3125.43695
2.8375067	3113.57915
2.8378933	3121.11839
2.83828	3121.69836
2.8386667	3122.71204
2.8390533	3126.83849
2.83944	3129.20328
2.8398267	3123.17139
2.8402133	3119.73568
2.8406	3119.54122
2.8409867	3123.47070
2.8413733	3122.90233
2.84176	3122.97229
2.8421467	3115.05280
2.8425333	3118.53019
2.84292	3124.25961
2.8433067	3122.99685
2.8436933	3124.24134
2.84408	3129.28914
2.8444667	3126.03090
2.8448533	3129.85480
2.84524	3124.86885
2.8456267	3120.40466
2.8460133	3128.43091
2.8464	3133.61062
2.8464	3130.70540
2.846	3133.52307
2.8456	3131.94093
2.8452	3128.38561
2.8448	3131.50900
2.8444	3132.83949
2.844	3128.40707
2.844	3135.60689
2.8444	3136.79627
2.8448	3126.62157
2.8452	3127.45664
2.8456	3128.97886
2.846	3130.18756
2.846	3139.77644
2.8456	3139.42749
2.8452	3135.38223
2.8448	3133.36884
2.8444	3131.27479
2.844	3132.66319
2.844	3123.17647
2.8444	3123.98529
2.8448	3125.19958
2.8452	3125.21849
2.8456	3126.03361
2.846	3126.09034
2.8456	3126.07773
2.8452	3138.22152
2.8448	3133.11158
2.8444	3124.19118
2.844	3125.01050
2.8456	3128.72500
2.8452	3127.15608
2.844	3123.36279
2.8452	3124.99030
2.8456	3125.53701
2.846	3124.08348
2.844	3123.53782
2.8444	3127.38402
2.8448	3127.75193
2.8452	3115.74302
2.8456	3116.41620
2.846	3120.90420
2.846	3122.32960
2.8456	3122.18125
2.8452	3123.42647
2.8448	3126.99369
2.8444	3121.97831
2.844	3133.58357
2.844	3127.42046
2.844	3126.10652
2.8445	3122.37019
2.845	3115.44413
2.846	3127.34069
2.8458	3126.98107
2.8456	3127.72871
2.8454	3119.47799
2.8452	3118.51572
2.845	3138.25316
2.8448	3128.96215
2.8446	3127.23659
2.8444	3126.08833
2.8442	3125.20820
2.844	3118.88994
2.8348	3114.76556
2.8351867	3115.43683
2.8355733	3115.87178
2.83596	3117.16604
2.8363467	3119.92448
2.8367333	3123.27977
2.83712	3125.43695
2.8375067	3113.57915
2.8378933	3121.11839
2.83828	3121.69836
2.8386667	3122.71204
2.8390533	3126.83849
2.83944	3129.20328
2.8398267	3123.17139
2.8402133	3119.73568
2.8406	3119.54122
2.8409867	3123.47070
2.8413733	3122.90233
2.84176	3122.97229
2.8421467	3115.05280
2.8425333	3118.53019
2.84292	3124.25961
2.8433067	3122.99685
2.8436933	3124.24134
2.84408	3129.28914
2.8444667	3126.03090
2.8448533	3129.85480
2.84524	3124.86885
2.8456267	3120.40466
2.8460133	3128.43091
2.8464	3133.61062
2.8464	3130.70540
2.846	3133.52307
2.8456	3131.94093
2.8452	3128.38561
2.8448	3131.50900
2.8444	3132.83949
2.844	3128.40707
2.844	3135.60689
2.8444	3136.79627
2.8448	3126.62157
2.8452	3127.45664
2.8456	3128.97886
2.846	3130.18756
2.846	3139.77644
2.8456	3139.42749
2.8452	3135.38223
2.8448	3133.36884
2.8444	3131.27479
2.844	3132.66319
2.844	3123.17647
2.8444	3123.98529
2.8448	3125.19958
2.8452	3125.21849
2.8456	3126.03361
2.846	3126.09034
2.8456	3126.07773
2.8452	3138.22152
2.8448	3133.11158
2.8444	3124.19118
2.844	3125.01050
2.8456	3128.72500
2.8452	3127.15608
2.844	3123.36279
2.8452	3124.99030
2.8456	3125.53701
2.846	3124.08348
2.844	3123.53782
2.8444	3127.38402
2.8448	3127.75193
2.8452	3115.74302
2.8456	3116.41620
2.846	3120.90420
2.846	3122.32960
2.8456	3122.18125
2.8452	3123.42647
2.8448	3126.99369
2.8444	3121.97831
2.844	3133.58357
2.844	3127.42046
2.844	3126.10652
2.8445	3122.37019
2.845	3115.44413
2.846	3127.34069
2.8458	3126.98107
2.8456	3127.72871
2.8454	3119.47799
2.8452	3118.51572
2.845	3138.25316
2.8448	3128.96215
2.8446	3127.23659
2.8444	3126.08833
2.8442	3125.20820
2.844	3118.88994
2.8348	3114.76556
2.8351867	3115.43683
2.8355733	3115.87178
2.83596	3117.16604
2.8363467	3119.92448
2.8367333	3123.27977
2.83712	3125.43695
2.8375067	3113.57915
2.8378933	3121.11839
2.83828	3121.69836
2.8386667	3122.71204
2.8390533	3126.83849
2.83944	3129.20328
2.8398267	3123.17139
2.8402133	3119.73568
2.8406	3119.54122
2.8409867	3123.47070
2.8413733	3122.90233
2.84176	3122.97229
2.8421467	3115.05280
2.8425333	3118.53019
2.84292	3124.25961
2.8433067	3122.99685
2.8436933	3124.24134
2.84408	3129.28914
2.8444667	3126.03090
2.8448533	3129.85480
2.84524	3124.86885
2.8456267	3120.40466
2.8460133	3128.43091
2.8464	3133.61062
2.8464	3130.70540
2.846	3133.52307
2.8456	3131.94093
2.8452	3128.38561
2.8448	3131.50900
2.8444	3132.83949
2.844	3128.40707
2.844	3135.60689
2.8444	3136.79627
2.8448	3126.62157
2.8452	3127.45664
2.8456	3128.97886
2.846	3130.18756
2.846	3139.77644
2.8456	3139.42749
2.8452	3135.38223
2.8448	3133.36884
2.8444	3131.27479
2.844	3132.66319
2.844	3123.17647
2.8444	3123.98529
2.8448	3125.19958
2.8452	3125.21849
2.8456	3126.03361
2.846	3126.09034
2.8456	3126.07773
2.8452	3138.22152
2.8448	3133.11158
2.8444	3124.19118
2.844	3125.01050
2.8456	3128.72500
2.8452	3127.15608
2.844	3123.36279
2.8452	3124.99030
2.8456	3125.53701
2.846	3124.08348
2.844	3123.53782
2.8444	3127.38402
2.8448	3127.75193
2.8452	3115.74302
2.8456	3116.41620
2.846	3120.90420
2.846	3122.32960
2.8456	3122.18125
2.8452	3123.42647
2.8448	3126.99369
2.8444	3121.97831
2.844	3133.58357
2.844	3127.42046
2.844	3126.10652
2.8445	3122.37019
2.845	3115.44413
2.846	3127.34069
2.8458	3126.98107
2.8456	3127.72871
2.8454	3119.47799
2.8452	3118.51572
2.845	3138.25316
2.8448	3128.96215
2.8446	3127.23659
2.8444	3126.08833
2.8442	3125.20820
2.844	3118.88994
2.8348	3114.76556
2.8351867	3115.43683
2.8355733	3115.87178
2.83596	3117.16604
2.8363467	3119.92448
2.8367333	3123.27977
2.83712	3125.43695
2.8375067	3113.57915
2.8378933	3121.11839
2.83828	3121.69836
2.8386667	3122.71204
2.8390533	3126.83849
2.83944	3129.20328
2.8398267	3123.17139
2.8402133	3119.73568
2.8406	3119.54122
2.8409867	3123.47070
2.8413733	3122.90233
2.84176	3122.97229
2.8421467	3115.05280
2.8425333	3118.53019
2.84292	3124.25961
2.8433067	3122.99685
2.8436933	3124.24134
2.84408	3129.28914
2.8444667	3126.03090
2.8448533	3129.85480
2.84524	3124.86885
2.8456267	3120.40466
2.8460133	3128.43091
2.8464	3133.61062
2.8464	3130.70540
2.846	3133.52307
2.8456	3131.94093
2.8452	3128.38561
2.8448	3131.50900
2.8444	3132.83949
2.844	3128.40707
2.844	3135.60689
2.8444	3136.79627
2.8448	3126.62157
2.8452	3127.45664
2.8456	3128.97886
2.846	3130.18756
2.846	3139.77644
2.8456	3139.42749
2.8452	3135.38223
2.8448	3133.36884
2.8444	3131.27479
2.844	3132.66319
2.844	3123.17647
